"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","4月支払金額","5月繰越残高","新規サイン"
"2025/03/31","西鉄ストア","家族","1回払い","2196","0","2196","2196","0","*"
"2025/03/29","西鉄ストア","家族","1回払い","1683","0","1683","1683","0","*"
"2025/03/29","ゆめマート熊本　サニー　姪浜店","家族","1回払い","5112","0","5112","5112","0","*"
"2025/03/29","ﾐｽﾀｰﾏｯｸｽ","家族","1回払い","875","0","875","875","0","*"
"2025/03/16","ﾐｽﾀｰﾏｯｸｽ","家族","1回払い","579","0","579","579","0","*"
"2025/03/16","ゆめマート熊本　サニー　姪浜店","家族","1回払い","4376","0","4376","4376","0","*"
"2025/03/15","きゅうでんガス","本人","1回払い","4647","0","4647","4647","0","*"
"2025/03/12","九州電力　　料金　　　２５／０３","本人","1回払い","13505","0","13505","13505","0","*"
"2025/03/09","ソフトバンク（Ｂ）","本人","1回払い","4180","0","4180","4180","0","*"
"2025/03/07","ゆめマート熊本　サニー　姪浜店","家族","1回払い","2583","0","2583","2583","0","*"
"2025/03/06","マックスシェアー　ｍａｘｓｈａ","本人","1回払い","3080","0","3080","3080","0","*"
