"ご利用日","ご利用先","ご利用金額（円）","現地通貨額","通貨略称","換算レート","使用地域","照会番号","承認番号","口座引落分（円）","ポイント利用分"
"20250301","ＭＡＲＫ　ＩＳ福岡ももち","437","","","","国内","74986005062-118884711745","471881","437","0"
"20250301","ＭＡＲＫ　ＩＳ福岡ももち","1230","","","","国内","74986005062-118884706125","389874","1230","0"
"20250301","にしてつストア　姪の浜店","3067","","","","国内","74685115061-336000116373","739932","3067","0"
"20250302","ミスターマックス","2362","","","","国内","74980005063-336101368553","968551","2362","0"
"20250302","ﾕﾒﾏ-ﾄｸﾏﾓﾄｻﾆ-ﾒｲﾉﾊﾏﾃﾝ","2938","","","","国内","74297695063-000003627021","839560","2938","0"
"20250308","ﾕﾒﾏ-ﾄｸﾏﾓﾄｻﾆ-ﾒｲﾉﾊﾏﾃﾝ","5735","","","","国内","74297695069-000008215800","922338","5735","0"
"20250309","玄海丸　姪浜店","2384","","","","国内","74986005070-119965900298","783887","2384","0"
"20250309","カフェポッターズ","2400","","","","国内","74986005070-119774400068","905820","2400","0"
"20250309","無印良品","750","","","","国内","74986005070-118594992056","912771","750","0"
"20250309","天神地下街","2919","","","","国内","74980735070-336901056336","702742","2919","0"
"20250309","ｿﾗﾘｱﾌﾟﾗｻﾞ","484","","","","国内","74966005070-802100957190","836863","484","0"
"20250311","にしてつストア　姪の浜店","2181","","","","国内","74685115071-337000712219","863732","2181","0"
"20250313","マックスバリュＥＸ姪浜駅前店","3637","","","","国内","74205035075-000005142561","158648","3637","0"
"20250319","にしてつストア　姪の浜店","4334","","","","国内","74685115079-337800151065","028697","4334","0"
"20250320","ハローデイ","684","","","","国内","74986025081-123835976871","239031","684","0"
"20250320","ＭＡＲＫ　ＩＳ福岡ももち","875","","","","国内","74986005081-122331112785","020956","875","0"
"20250320","ＭＡＲＫ　ＩＳ福岡ももち","1520","","","","国内","74986005081-122331106142","077957","1520","0"
"20250322","博多阪急","1500","","","","国内","74685115082-338100175619","626010","1500","0"
"20250322","博多デイトス","900","","","","国内","74685115082-338100031283","851012","900","0"
"20250322","マックスバリュＥＸ姪浜駅前店","3135","","","","国内","74205035084-000010387069","636045","3135","0"
"20250322","やまや　姪浜小戸店","3110","","","","国内","74205035083-000012311829","275077","3110","0"
"20250323","セブン－イレブン","541","","","","国内","74980005084-338201410991","941473","541","0"
"20250323","マックスバリュＥＸ姪浜駅前店","2572","","","","国内","74205035085-000009214489","526443","2572","0"
"20250324","にしてつストア　姪の浜店","113","","","","国内","74685115084-338300448475","880071","113","0"
"20250326","セブン－イレブン","709","","","","国内","74980005087-338500913346","053210","709","0"
"20250326","ＡＭＡＺＯＮ．ＣＯ．ＪＰ","6400","","","","国内","74980005086-338600104110","441717","6400","0"
"20250326","にしてつストア　姪の浜店","2157","","","","国内","74685115086-338500083005","023932","2157","0"
"20250327","ローソン","735","","","","国内","74980005087-338700367830","880592","735","0"
"20250328","にしてつストア　姪の浜店","656","","","","国内","74685115088-338700130729","587958","656","0"
